Name1	Name2	corr
imperialismo_noun_masc_sing	norte	0.19595862
empresa_noun_fem_sing	contrato_noun_masc_sing	0.19513118
contrato_noun_masc_sing	empresa_noun_fem_sing	0.19513118
vídeo_noun_masc_sing	gostar_verb_fin_sing	0.19510823
gostar_verb_fin_sing	vídeo_noun_masc_sing	0.19510823
mês_noun_masc_plur	último_adj_masc_plur	0.19504373
último_adj_masc_plur	mês_noun_masc_plur	0.19504373
moeda_noun_fem_sing	apreender_verb_fin_sing	0.19462681
apreender_verb_fin_sing	moeda_noun_fem_sing	0.19462681
comer_verb_fin_plur	cachorro_noun_masc_sing	0.19409316
cachorro_noun_masc_sing	comer_verb_fin_plur	0.19409316
mês_noun_masc_sing	pequeno_adj_masc_sing	0.19391865
pequeno_adj_masc_sing	mês_noun_masc_sing	0.19391865
bloqueio_noun_masc_sing	econômico_adj_masc_sing	0.19154696
econômico_adj_masc_sing	bloqueio_noun_masc_sing	0.19154696
salário_noun_masc_sing	mês_noun_masc_sing	0.19083097
mês_noun_masc_sing	salário_noun_masc_sing	0.19083097
fogo_noun_masc_sing	colocar_verb_fin_plur	0.1884971
colocar_verb_fin_plur	fogo_noun_masc_sing	0.1884971
fronteira_noun_fem_sing	atravessar_verb_fin_plur	0.18687656
atravessar_verb_fin_plur	fronteira_noun_fem_sing	0.18687656
diplomata_noun_masc_plur	decisão_noun_fem_sing	0.18650631
decisão_noun_fem_sing	diplomata_noun_masc_plur	0.18650631
casa_noun_fem_sing	abrigar_verb_fin_sing	0.18630211
abrigar_verb_fin_sing	casa_noun_fem_sing	0.18630211
desculpa_noun_fem_plur	gravar_verb_fin_sing	0.18468025
acabar_verb_fin_sing	vivo_noun_masc_sing	0.18468025
vivo_noun_masc_sing	acabar_verb_fin_sing	0.18468025
gravar_verb_fin_sing	desculpa_noun_fem_plur	0.18468025
militar_adj_fem_sing	intervenção_noun_fem_sing	0.18367666
intervenção_noun_fem_sing	militar_adj_fem_sing	0.18367666
argentino_adj_masc_plur	colombiano_adj_masc_plur	0.18330991
colombiano_adj_masc_plur	argentino_adj_masc_plur	0.18330991
comida_noun_fem_sing	lixo_noun_masc_sing	0.18325768
lixo_noun_masc_sing	comida_noun_fem_sing	0.18325768
declarar_verb_fin_sing	governador_noun_masc_sing	0.18287874
governador_noun_masc_sing	declarar_verb_fin_sing	0.18287874
índio_noun_masc_plur	chegada_noun_fem_sing	0.18143385
chegada_noun_fem_sing	índio_noun_masc_plur	0.18143385
general	narcotráfico_noun_masc_sing	0.18090992
narcotráfico_noun_masc_sing	general	0.18090992
pessoal_noun_masc_sing	subir_verb_inf	0.18067615
subir_verb_inf	pessoal_noun_masc_sing	0.18067615
ano_noun_masc_plur	clima_noun_masc_sing	0.17841287
clima_noun_masc_sing	ano_noun_masc_plur	0.17841287
lixo_noun_masc_sing	cão_noun_masc_plur	0.17804568
cão_noun_masc_plur	lixo_noun_masc_sing	0.17804568
petróleo_noun_masc_sing	praia_noun_fem_plur	0.17591719
praia_noun_fem_plur	petróleo_noun_masc_sing	0.17591719
acabar_verb_fin_sing	palavra_noun_fem_plur	0.17469575
palavra_noun_fem_plur	acabar_verb_fin_sing	0.17469575
comer_verb_inf	cachorro_noun_masc_sing	0.17469571
cachorro_noun_masc_sing	comer_verb_inf	0.17469571
crise_noun_fem_sing	econômico_adj_fem_sing	0.17457247
econômico_adj_fem_sing	crise_noun_fem_sing	0.17457247
